vjdbv1.0_field_index,vjdbv1.0_field_id,vjdbv1.0_name
0ag,genbank_title,GenBank Title
0aj,city,City
0ap,genome_completeness_percentage,Genome Completeness Percentage
0ax,ncbi_usa,NCBI USA
0ay,analysis_accession,Analysis Accession
0be,collecting_organization,Collecting Organization
0bf,host_health_state,Host Health State
0bg,latitude,Latitude
0bh,longitude,Longitude
0bi,collection_region,Collection Region
0bj,collection_source_environment,Collection Source Environment
0bk,collector_name,Collector Name
0bl,cutoff_for_seropositive_sample,Cutoff for Seropositive Sample
0bm,experiment_accession,Experiment Accession
0bn,host_behaviour,Host Behaviour
0bo,host_disease,Host Disease
0bp,host_disease_outcome,Host Disease Outcome
0bq,host_disease_symptoms,Host Disease Symptoms
0bs,host_habitat,Host Habitat
0bz,host_subject_id,Host Subject ID
0ca,influenza_test_method,Influenza Test Method
0cb,influenza_test_result,Influenza Test Result
0cc,influenza_virus_type,Influenza Virus Type
0ce,other_pathogens_test_result,Other Pathogens Test Result
0cf,other_pathogens_tested,Other Pathogens Tested
0ch,pangolin_version,Pangolin Version
0ci,receipt_date,Receipt Date
0cj,rki_accession,RKI Accession
0ck,run_accession,Run Accession
0cm,serotype,Serotype
0cn,abbreviation,Abbreviation
0co,sample_species_tax_id,Sample Species Tax ID
0cs,sequence_name,Sequence Name
0cu,publication_doi,Publication DOI
0cv,pubmed_accession,Pubmed Accession
0cw,update_date,Update Date
0cz,insert_size,Insert Size
0da,instrument,Instrument
0db,library_construction_protocol,Library Construction Protocol
0dc,library_description,Library Description
0dd,library_layout,Library Layout
0de,library_name,Library Name
0df,library_selection,Library Selection
0dg,library_source,Library Source
0dh,library_strategy,Library Strategy
0dp,virus_id,Virus ID
0dq,antiviral_treatment,Antiviral Treatment
0dr,antiviral_treatment_dosage,Antiviral Treatment Dosage
0ds,antiviral_treatment_duration,Antiviral Treatment Duration
0dt,antiviral_treatment_initiation,Antiviral Treatment Initiation
0dw,gravidity,Gravidity
0dx,hospitalisation,Hospitalisation
0dy,host_description,Host Description
0dz,illness_duration,Illness Duration
0ea,illness_onset_date,Illness Onset Date
0eb,illness_symptoms,Illness Symptoms
0ec,influenza_strain_unique_number,Influenza Strain Unique Number
0ed,influenza_vaccination_date,Influenza Vaccination Date
0ee,influenza_vaccination_type,Influenza Vaccination Type
0ef,influenza_like_illness_at_the_time_of_sample_collection,Influenza-like Illness at the Time of Sample Collection
0eg,inoculation_dose,Inoculation Dose
0eh,inoculation_route,Inoculation Route
0ei,inoculation_stock_availability,Inoculation Stock Availability
0ej,lineage_swl_required_for_h1n1_viruses,Lineage: SWL (Required for H1N1 Viruses)
0ek,meaning_of_cut_off_value,Meaning of Cut Off Value
0el,number_of_inoculated_individuals,Number of Inoculated Individuals
0em,personal_protective_equipment,Personal Protective Equipment
0en,sample_capture_status,Sample Capture Status
0eo,sample_storage_conditions,Sample Storage Conditions
0ep,sample_description,Sample Description
0eq,source_of_vaccination_information,Source of Vaccination Information
0es,study_description,Study Description
0et,subject_exposure,Subject Exposure
0eu,subject_exposure_duration,Subject Exposure Duration
0ev,study_title,Study Title
0ew,experiment_title,Experiment Title
0ex,sample_title,Sample Title
0ey,type_exposure,Type Exposure
0ez,vaccine_dosage,Vaccine Dosage
0fa,vaccine_lot_number,Vaccine Lot Number
0fb,vaccine_manufacturer,Vaccine Manufacturer
0fc,who_oie_fao_clade_required_for_hpai_h5n1_viruses,WHO/OIE/FAO Clade (Required for HPAI H5N1 Viruses)
0fd,virus_old_names,Virus Old Names
0fe,sequence_byte_range,Sequence Byte Range
0ff,sequence_path,Sequence Path
0fg,insertion_date,Insertion Date
0fh,update_date,Update Date
0fj,ictv_subrealm,ICTV Subrealm
0fl,ictv_subkingdom,ICTV Subkingdom
0fp,ictv_subclass,ICTV Subclass
0fy,ncbi_subrealm,NCBI Subrealm
0ga,ncbi_subkingdom,NCBI Subkingdom
